430,syr. 434,syr. 611,syr. 612
ܒܒܝܬܡܠܟܐܐܝܟܢܐܕܢܬܚܙ̈ܝܢܡ̣ܢܐ̄ܢܫܝ̈ܡܠܟܐ܂ܘܟܬܒ,,ܒܚܕܡܢܬܘܢܘ̈ܗܝܕܡܠܟܐ܂ܒܬܪܟܢ,ܒܚܕܡܢܬܘܢܘ̈ܗܝܕܡܠܟܐ܂ܒܬܪܟܢ
ܬܘܒ,,ܬܘܒ,ܬܘܒ
,,ܟܬܒ,ܟܬܒ
ܐܓܪܬܐ,,,
,,ܐܓܪܬܐ,ܐܓܪܬܐ
ܐ̄ܚܪܝܬܐܒܫܡܣܢܚܪܝܒܡܠܟܐܡܪܝ܂ܘܫܕܪܗܠܘܬܝܘܗܟܢܟܬܒܒܗ̇܂,,,
,,ܐ̄ܚܪܬܐ,ܐ̄ܚܪܬܐ
ܡ̣ܢ,,ܡ̣ܢ,ܡ̣ܢ
ܣܢܚܪܝܒ,,ܦܘܡ,ܦܘܡ
ܡܠܟܐ,,ܡܠܟܐ,ܡܠܟܐ
ܠܐܚܝܩܪܣܛܪܦܝܘܢܛܪܐ̄ܪ̈ܙܝ,,ܠܘܬܝ܂ܡܢܣܪܚܕܘܡ܂ܠܐܚܝܩܪܣܦܪܐܕܡܪܝ,ܠܘܬܝ܂ܡܢܣܪܚܕܘܡ܂ܠܐܚܝܩܪܣܦܪܐܕܡܪܝ
ܫܠܡ܂,,ܫܠܡ܂,ܫܠܡ܂
ܒܫܥܬܐܕܬܡܛܐ,,ܟܕ,ܟܕ
ܐܓܪܬܐܗܕܐ,,ܐܓܪܬܐܗܕܐ,ܐܓܪܬܐܗܕܐ
ܠܐܝܕܟ,,ܬܩܪܐ܂,ܬܩܪܐ܂
ܟܢܫ,,ܟܢܫ,ܟܢܫ
ܚܝ̈ܠܘܬܐܕܠܘܬܟܘܦܘܩܠܐܘܪܥܝܠܛܘܪܨܚܘ܂ܘܩܕܡܝܢܝܠܦܩܥܬܐܕܢܣܪܝܢ܂ܒܥܣܪܝܢ,,ܚܝܠܐܟܠܗܠܛܘܪܐ,ܚܝܠܐܟܠܗܠܛܘܪܐ
,,ܕܨܚܘ܆,ܕܨܚܘ
ܘܚܡܫܐ,,,
ܕܝܪܚܐܐܒ܂ܘܟܕܬܚܙܘܢܕܩܪܒܬܠܟܘܢܦܩܘܕܠܚܝ̈ܠܘܬܐܢܩܘܡܘܢܠܩܘܒܠܝ,,ܘܡ̣ܢܬܡ̇ܢܦܘܩܠܦܩܥܬ,ܘܡ̣ܢܬܡ̇ܢܦܘܩܠܦܩܥܬ
,,ܢܫܪܝܢ܂,ܢܫܪ̈ܝܢ܂
,,ܒܝܘܡܥܣܪܝܢ,ܒܝܘܡܥܣܪܝܢ
,,ܘܚܡܫܐ,
,,ܒܝܪܚܐܐܒ܂ܘܡܐܕܚܙܐܐܢ̄ܬܠܝܕܡܬܩܪܒܐ̄ܢܐ,ܒܝܪܚܐܐܒ܂ܘܡܐܕܚܙܐܐܢ̄ܬܠܝܕܡܬܩܪܒܐ̄ܢܐ
,,ܠܘܬܟ܂,ܠܘܬܟ܇
,,ܣܕܘܪܚܝܠܐ,ܣܕܘܪܚܝܠܐ
,,ܠܘܩܒܠܝ,ܠܘܩܒܠ
ܐܝܟ,,ܐܝܟ,ܐܝܟ
