162,Add_2020,Add_7200,Ar_7/229,Manuscrit_4122,Or_2313,Sachau_162,Sado_no_9,Syr_80
ܘܟܠܕܫܡܥ,ܘܕܚܙܐ,ܘܟܠܕܫܡܥ,ܘܟܠܕܫܡܥ,ܬܓܠܐ܆,,ܘܟܠܕܫܡܥ,ܘܕܚܙܐ,
ܐܢܬܠܐ,ܐܢܬܠܐ,ܐܢܬܠܐ,ܐܢܬܠܐ,,,ܐܢܬܠܐ,ܐܢ̄ܬ,
,,,,,,,ܠܐ,
ܬܓܠܐ܀,ܬܓܠܐ܀,ܬܓܠܐ܂܂,ܬܐܡܪ܀,,,ܬܐܡܪ܀,,
,,,٣܆,,,,ܬܓܠܐ܂܂,
ܒܪܝܐܣܪܐܕܚܬܝܡܠܐ,ܒܪܝܐܣܪܐܕܚܬܝܡܠܐ,ܒܪܝܐܣܪܐܕܚܬܝܡܠܐ,ܒܪܝܐܣܪܐܕܚܬܝܡܠܐ,,,ܒܪܝܐܣܪܐܕܚܬܝܡܠܐ,ܒܪܝܐܣܪܐܕܚܬܝܡܠܐ,
ܬܫܪܐ܂,ܬܫܪܐ܂,ܬܫܪܐ܂,ܬܫܪܐ܂,,,ܬܫܪܐ܂,ܬܚܙܐ܂܂,
ܘܗܘܕܫܪܐ,ܘܕܫܪܐ,ܘܗܘܕܫܪܐ,ܘܗܘܕܫܪܐ,,,ܘܗܘܕܫܪܐ,ܘܕܫܪܐ,
ܠܐ,ܠܐ,ܠܐ,ܠܐ,,,ܠܐ,ܠܐ,
ܬܚܬܘܡ܀,ܬܚܬܘܡ܀,ܬܚܬܘܡ܂܂,ܬܚܬܘܡ܀,,,ܬܚܬܘܡ܂,ܬܚܬܘܡ܂܂,
,,,٤܆,,,,,
ܒܪܝ,ܒܪܝ,ܒܪܝ,ܒܪܝ,ܒܪܝ,,ܒܪܝ,ܒܪܝ,ܒܪܝ
ܐܚܠܐ,ܠܐ,ܐܚܠܐ,ܡ̈ܠܐܕܠܐ,ܠܐ,,ܡ̈ܠܐܕܠܐ,ܠܐ,ܠܐ
ܠܫܢܟ܂ܘܐܛܐܒܡܦܬܚܦܘܡܟ܀,,ܠܫܢܟܘܐܛܐܒܒܡܦܬܚܦܘܡܟ܂,ܕܝܠܟ܆ܣܦܘ̈ܬܟ,,,ܕܝܠܟ܂,,
ܡܛܠܕܕܘܢܒܗܕܟܠܒܐ,,ܡܛܠܕܕܘܢܒܗܕܟܠܒܐ,ܠܐ,,,ܠܐ,,
ܝܗܒܐܠܗܠܚܡܐ,,ܝܗܒܠܗܠܚܡܐ܇,ܢܡ̈ܠܠܢ܀٥܆,,,ܢܡ̈ܠܠܢܣ̈ܦܘܬܟ܀,,
ܘܦܘܡܗ,,ܘܦܘܡܗ,ܒܪܝܠܫܘܦܪܐܠܐܬܬܪܓܪܓ܂ܡܛܠܕܫܘܦܪܐ,,,ܒܪܝܠܫܘܦܪܐܠܐܬܬܪܓܪܓ܂ܡܛܠܕܫܘܦܪܐ,,
ܝܗܒܠܗܚܘܛܪܐܘܟܐܦ̈ܐ܀,,ܝܗܒܠܗܡܚ̈ܘܬܐ܂,ܒܠܐܘܥܒܪ܆,,,ܟܠܐܘܥܒܪ,,
ܒܪܝܥܝܢܗ,,ܒܪܝܥܝܢܗ,ܘܫܡܐܛܒܐܡܩܘܐܘܡܟܬܪ܀,,,ܘܫܡܐܛܒܐܡܩܘܐܘܡܟܬܪ܀,,
ܕܒܪܐܢܫܐܡܒܘܥܐܗܝ܂,,ܕܒܪܢܫܡܒܘܥܐܗܝ,٦܆,,,,,
ܘܠܐܣܒܥܐ,,ܘܠܐܣܒܥܐ,ܒܪܝܠܐ,,,ܒܪܝܠܐ,,
ܢܟ̈ܣܐ܂,,ܢ̈ܟܣܐ,ܬܫܕܠܟ,,,ܫܕܠܟܐܢܬܬ,,
ܥܕܡܐ,,ܥܕܡܐ,,,,,,
