430,syr_422,syr_434,syr_611,syr_612
ܐ̄ܚܪܝܬܐܒܫܡܣܢܚܪܝܒܡܠܟܐܡܪܝ܂ܘܫܕܪܗܠܘܬܝܘܗܟܢܟܬܒܒܗ̇܂ܡ̣ܢܣܢܚܪܝܒܡܠܟܐܠܐܚܝܩܪܣܛܪܦܝܘܢܛܪܐ̄ܪ̈ܙܝ,ܐ̄ܚܪܬܐ,,ܐ̄ܚܪܬܐ,ܐ̄ܚܪܬܐ
,ܐܝܟܕܡ̣ܢܡܪܝܡܠܟܐ܂,,,
,ܡ̣ܢ,,ܡ̣ܢ,ܡ̣ܢ
,,,ܦܘܡܡܠܟܐܠܘܬܝ܂ܡܢ,ܦܘܡܡܠܟܐܠܘܬܝ܂ܡܢ
,ܣܪܚܕܘܡ܂ܠܐܚܝܩܪܣܦܪܐܕܡܪܝ,,ܣܪܚܕܘܡ܂ܠܐܚܝܩܪܣܦܪܐܕܡܪܝ,ܣܪܚܕܘܡ܂ܠܐܚܝܩܪܣܦܪܐܕܡܪܝ
ܫܠܡ܂,ܫܠܡ܂,,ܫܠܡ܂,ܫܠܡ܂
ܒܫܥܬܐܕܬܡܛܐ,ܟܕ,,ܟܕ,ܟܕ
ܐܓܪܬܐܗܕܐ,ܐܓܪܬܐܗܕܐ,,ܐܓܪܬܐܗܕܐ,ܐܓܪܬܐܗܕܐ
ܠܐܝܕܟ,ܐܬܩܒܠܬ܂,,ܬܩܪܐ܂,ܬܩܪܐ܂
ܟܢܫ,ܟܢܫ,,ܟܢܫ,ܟܢܫ
ܚܝ̈ܠܘܬܐܕܠܘܬܟܘܦܘܩܠܐܘܪܥܝܠܛܘܪܨܚܘ܂ܘܩܕܡܝܢܝܠܦܩܥܬܐܕܢܣܪܝܢ܂ܒܥܣܪܝܢ,ܚܝܠܐܟܠܗ,,ܚܝܠܐܟܠܗ,ܚܝܠܐܟܠܗ
,ܠܛܘܪܐ܂,,ܠܛܘܪܐ,ܠܛܘܪܐ
,,,ܕܨܚܘ܆,ܕܨܚܘ
,ܘܡ̣ܢ,,ܘܡ̣ܢ,ܘܡ̣ܢ
,ܬܡܢ,,ܬܡ̇ܢ,ܬܡ̇ܢ
,ܦܘܩܠܦܩܥܬ,,ܦܘܩܠܦܩܥܬ,ܦܘܩܠܦܩܥܬ
,ܢܫܪܝܢ܂,,ܢܫܪܝܢ܂,ܢܫܪ̈ܝܢ܂
,ܒܝܘܡܥܣܪܝܢ,,ܒܝܘܡܥܣܪܝܢ,ܒܝܘܡܥܣܪܝܢ
ܘܚܡܫܐ,ܘܚܡܫܐ,,ܘܚܡܫܐ,
ܕܝܪܚܐܐܒ܂ܘܟܕܬܚܙܘܢܕܩܪܒܬܠܟܘܢܦܩܘܕܠܚܝ̈ܠܘܬܐܢܩܘܡܘܢܠܩܘܒܠܝ,ܒܝܪܚܐ܂,,ܒܝܪܚܐܐܒ܂,ܒܝܪܚܐܐܒ܂
,ܘܡܐܕܚܙܐ,,ܘܡܐܕܚܙܐ,ܘܡܐܕܚܙܐ
,ܐܢܬ,,ܐܢ̄ܬ,ܐܢ̄ܬ
,ܠܝܕܡܬܩܪܒܐ̄ܢܐ,,ܠܝܕܡܬܩܪܒܐ̄ܢܐ,ܠܝܕܡܬܩܪܒܐ̄ܢܐ
,ܠܘܬܟ܂,,ܠܘܬܟ܂,ܠܘܬܟ܇
,ܣܕܘܪܚܝܠܐ,,ܣܕܘܪܚܝܠܐ,ܣܕܘܪܚܝܠܐ
,ܠܘܩܒܠ܂,,ܠܘܩܒܠܝ,ܠܘܩܒܠ
ܐܝܟ,ܐܝܟ,,ܐܝܟ,ܐܝܟ
ܗܢܘܢܕܒܥܝܢܕܢܡܚܘܢܩܪܒܐܕܫܘܐܠܫܝܛܘܬܐܥܠܕܐܫܝܚ,ܥܒܕܐ,,ܓܒܪܐ,ܓܒܪܐ
,ܕܥܬܝܕܠܩܪܒܐ܂_ܡܛܠ,,ܕܥܬܝܕܠܩܪܒܐ܂ܡܛܠ,ܕܥܬܝܕܠܩܪܒܐ܂ܡܛܠ
,ܕܐܝܙ̈ܓܕܐ,,ܕܐܝܙܓ̈ܕܐ,ܕܐܝܙܓܕ̈ܐ
,ܕܦܪܥܘܢܡܠܟܐܕܡܨܪܝܢܐܬܘܠܘܬܝ܂ܕܢܕܥܘܢܡܢܐܚܝܠܐܐܝܬܠܝ܂,,ܕܦܪܥܘܢܡܠܟܐܕܡܨܪܝܢܐܬܘܠܘܬܝ܂ܕܢܕܥܘܢܡܢܐܚܝܠܐܐܝܬܠܝ܂,ܕܦܪܥܘܢܡܠܟܐܕܡܨܪܝܢܐܬܘܠܘܬܝ܂ܕܢܕܥܘܢܡܢܐܚܝܠܐܐܝܬܠܝ܂
,ܘܫܕܪܘܗܠܝܥܡܬܪܝܢܓܒܪ̈ܝܢ܂,,ܘܕܐܝܟܐܝܟܐܐܢܘܢ,ܘܕܐܝܟܐܝܟܐܐܢܘܢ
,,,ܚܝܠܘܬ̈ܝ܂,ܚܝܠܘܬܝ܀
,ܟܕܝܗ̄ܒܢܕܢܒܪܝܠܡܠܟܐ,,ܟܕܝܗ̄ܒܢܕܢܒܪܝܠܡܠܟܐ,ܟܕܝܗ̄ܒܢܕܢܒܪܝܠܡܠܟܐ
,ܐܓܪܬ݂ܐܗ̇ܝܕܟܬܒܥܠܦܘܡܐܚܝܩܪ܂ܗܝܕܝܢܠܒ̣ܟܗܒܪܝܢܕܢܠܚܕܐܡ̣ܢܐܓܪ̈ܬܐ܂,,ܐܓܪܬܐܚܕܐܡܢܗܝܢ,ܐܓܪܬܐܚܕܐܡܢܗܝܢ
,ܐܝܟܗܘ,,ܐܝܟܗܘ,ܐܝܟܗܘ
,ܕܡܫܟܚܘܗ,,ܕܡܫܟܚܘܗ,ܕܡܫܟܚܘܐܫ̱ܟܚܗ̇܂
,ܐܫܟܚܗ܂ܘܩܪܗܩܕܡܡܠܟܐ܂,,ܐܫܟܚܗ̇܂,
,,,ܘܢܣܒܗܘܩܪܐܩܕܡ,ܘܢܣܒܗܘܩܪܐܩܕܡ
,,,ܡܪܝܡܠܟܐ,ܡܠܟܐܡܪܝ
,,,ܣܪܚܕܘܡ܂,ܣܪܚܕܘܡ܂
,ܘܟܕܫܡܥܣܓܝ,,ܘܟܕܫܡܥܣܓܝ,ܘܟܕܫܡܥܣܓܝ
,ܪܓܙ܂ܟܕܐܬܚܡܬܡܠܟܐ,,ܪܓܙ,ܪܓܙ
ܥܠ,ܥܠ,,ܥܠ,ܥܠ
ܡܪܘܬܟ܂ܘܐܙܕܠܠܬܒܥܝܢܘ̈ܗܝ܂ܗܝܕܝܢܡܠܟܐ,ܐܚܝܩܪ,,ܐܚܝܩܪ,ܐܚܝܩܪ
,,,ܣܦܪܐ,ܣܦܪܐ
,ܘܗܟܢܐܐܡܪ܂ܐܘܢ,,ܘܗܟܢܐܐܡܪ܂ܐܘܢ,ܘܗܟܢܐܐܡܪ܂ܐܘܢ
,ܐܠܗܐ܂,,ܐܠܗܐ,ܐܠܗܐ
,ܡܢܐܚܛܝܬܠܗܠܐܚܝܩܪ܂ܕܗܟܢܐܨܒܐܕܢܥܒܕ,,ܡܢܐܚܛܝܬܠܗܠܐܚܝܩܪ܂ܕܗܟܢܐܨܒܐܕܢܥܒܕ,ܡܢܐܚܛܝܬܠܗܠܐܚܝܩܪ܂ܕܗܟܢܐܨܒܐܕܢܥܒܕ
,ܠܝܟܕܡܦܢܐܢܕܢܠܡܠܟܐܡܛܠܐܚܝܩܪ܂,,ܠܝ܂,ܠܝ܂
,ܗܝܕܝܢ,,ܗ̇ܝܕܝܢ,ܗܝܕܝܢ
,ܥܢܐܢܕܢܘܐܡܪܠܡܠܟܐ܂ܠܐ,,ܥܢܐܢܕܢܘܐܡܪܠܡܠܟܐ܂ܠܐ,ܥܢܐܢܕܢܘܐܡܪܠܡܠܟܐ܂ܠܐ
,ܬܩܨܘܦ,,ܬܪܓܙ,ܬܪܓܙ
,,,ܘܬܬܟܡܪ,ܘܬܬܟܡܪ܂
,ܡܪܝܡܠܟܐ܂ܢܐܙܠ,,ܡܪܝܡܠܟܐ܂ܢܐܙܠ,ܡܪܝܡܠܟܐ܂ܢܐܙܠ
,,,ܗܫܐ,ܗܫܐ
,ܢܦܘܩܠܦܩܥܬ,,ܢܦܘܩܠܦܩܥܬ,ܢܦܘܩܠܦܩܥܬ
,ܢܫܪܝܢ,,ܢܫܪܝܢ,ܢܫܪ̈ܝܢ
,ܐܝܟ,,,
,ܐܝܟܕܟܬܝܒ,,ܐܝܟܕܟܬܝܒ,ܐܝܟܕܟܬܝܒ
,ܒܐܓܪܬܐܗܕܐ܂ܕܡ̣ܢ,,ܒܗܕܐܐܓܪܬܐ܂ܘܕܡܢ,ܒܗܕܐܐܓܪܬܐ܂ܘܕܡܢ
,ܬܡܢܝܕܥܝܢܢܫܪܪܐܕܗܠܝܢ܂ܘܟܠܕܦܩܕ,,ܬܡܢܝܕܥܝܢܢܫܪܪܐܕܗܠܝܢ܂ܘܟܠܕܦܩܕ,ܬܡܢܝܕܥܝܢܢܫܪܪܐܕܗܠܝܢ܂ܘܟܠܕܦܩܕ
,ܐ̄ܢܬ,,ܐܢ̄ܬ,ܐܢ̄ܬ
,ܢܗܘܐ܂ܟܕܕܝܢܦܩܕ,,ܢܗܘܐ܂ܟܕܕܝܢܦܩܕ,ܢܗܘܐ܂ܟܕܕܝܢܦܩܕ
,ܡܠܟ̇ܐ,,ܡܠܟܐ,ܡܠܟܐ
,ܕܢܬܛܝܒܘܢܕܢܣܩܘܢܠܦܩܥܬܐܕܢܚܙܘܢ,,ܕܢܬܛܝܒܘܢܕܢܣܩܘܢܠܦܩܥܬܐܕܢܚܙܘܢ,ܕܢܬܛܝܒܘܢܕܢܣܩܘܢܠܦܩܥܬܐܕܢܚܙܘܢ
,ܫܪܕܐ,,ܫܪܪܐ,ܫܪܪܐ
,ܕܝܠܗܕܣܘܥܪܢܐ܂,,ܕܝܠܗܕܣܘܥܪܢܐ܂,ܕܝܠܗܕܣܘܥܪܢܐ܂
,ܘܕܒܪ,,ܗܝ̇ܕܝܢ,ܗܝܕܝܢ
,,,ܩܡ,ܩܡ
,ܢܕܢܒܪܝ,,ܢܕܢܒܪܝ,ܢܕܢܒܪܝ
,ܠܡܠܟܐ܂,,ܥܡܡܪܝܡܠܟܐܣܪܚܕܘܡ,ܥܡܡܪܝܡܠܟܐܣܪܚܕܘܡ
,ܘܐܬܘ,,ܘܐܬܘ,ܘܐܬܘ
,ܘܐܫܟܚܘܢܝ,,ܘܐܫܟܚܘܢܢܝ,ܘܐܫ̱ܟܚܘܢܢܝ
,ܘܠܚܝܠܐܕܥܡܝܒܦܩܥܬ,,ܘܠܚܝܠܐܕܥܡܝܒܦܩܥܬ,ܘܠܚܝܠܐܕܥܡܝܒܦܩܥܬ
,ܢܫܪ̈ܝܢ܂,,ܢܫܪ̈ܝܢ܂,ܢܫܪܝܢ܂
,ܘܟܕܚܙܝܬܗܕܐܬܐ,,ܘܟܕܚܙܝܬܗܕܐܬܐ,ܘܟܕܚܙܝܬܗܕܐܬܐ
,ܠܘܩܒܠ,,ܠܘܩܒܠܝ܂,ܠܘܩܒܠ܂
,ܣܕܪܬ,,ܣܕܪܬ,ܣܕܪܬ
,ܚܝܠܐ,,,
,ܠܩܘܒܠܗ,,ܠܩܘܒܠܗ,ܠܩܘܒܠܗ
,,,ܚܝܠܐ,ܚܝܠܐ
,ܐܝܟܕܠܩܪܒܐܥܠܬܘܟܠܢܐܕܐܓܪܬܐ,,ܐܝܟܕܠܩܪܒܐܥܠܬܘܟܠܢܐܕܐܓܪܬܐ,ܐܝܟܕܠܩܪܒܐܥܠܬܘܟܠܢܐܕܐܓܪܬܐ
,ܗ̇ܝ,,ܗܝ,ܗܝ
,ܕܫܕܪܠܝ,,ܕܫܕܪܠܝ,ܕܫܕܪܠܝ
,,,ܢܕܢ,ܢܕܢ
,ܒܪܝ܂,,ܒܪܝ܂,ܒܪܝ܂
,ܘܐܡܪܠܗܒܪܝܠܡܠܟܐ܂,,ܗܝܕܝܢܟܕܡܠܟܐܚܙܐܡܢܝܗܟ̣ܢ,ܗܝܕܝܢܟܕܡܠܟܐܚܙܐܡܢܝܗܟ̣ܢ
,,,ܐܬܟ̇ܡܪܘ,ܐܬܟܡܪ
,,,ܐܦܘ̈ܗܝܘܗܦܟܒܝܕܡܠܟܗܕܢܕܢܒܪܝܟܕܐܡܪܠܗ܂ܐܘܡܪܝܡܠܟܐ,ܐܦܘ̈ܗܝܘܗܦܟܒܝܕܡܠܟܗܕܢܕܢܒܪܝܟܕܐܡܪܠܗ܂ܐܘܡܪܝܡܠܟܐ
,ܙܠܠܒܝܬܟ,,ܙܠܠܒܝܬܟ,ܙܠܠܒܝܬܟ
,ܒܢܝܚܐܡܪܝ܂,,ܒܢܝܚܐ܂,ܒܢܝܚܐ܂
,ܘܐܢܐܠܐܚܝܩܪ,,ܘܐܢܐܠܐܚܝܩܪ,ܘܐܢܐܠܐܚܝܩܪ
,ܡܝܬܐܐ̄ܢܐܠܟ,,ܐܚܕܐ̄ܢܐܠܗ,ܐܚܕܐ̄ܢܐܠܗ
,ܟܕܐܣܝܪ,,ܟܕܐܣܝܪ,ܟܕܐܣܝܪ
,ܘܡܣܛܡܒܫܫ̈ܠܬܐܡܛܠܕܐܬܬ݁ܙܝܥܥܠܝܟ܂ܘܥܒܪܥܝܢܘܗ̈ܝܥܠܝܟ܂ܘܡܠܟܐܕܝܢܣܢܚܪܝܒ,,ܒܣܘ̈ܛܡܐ,ܒܣܘܛܡ̈ܐ
,,,ܘܒܫܫ̈ܠܬܐܘܡܫܠܡܐ̄ܢܐܠܗ,ܘܒܫܫ̈ܠܬܐܘܡܫܠܡܐ̄ܢܐܠܗ
,,,ܒܐܝܕ̈ܝܟ܂,ܒܐܝܕܝ̈ܟ܂
,,,ܥܠܕܥܒܕܒܝܫܬܐܥܡܟ܂ܟܕ,ܥܠܕܥܒܕܒܝܫܬܐܥܡܟ܂ܟܕ
ܗܦܟ,ܗܦܟ,,ܗܦܟ,ܗܦܟ
ܠܒܝܬܐ,ܠܒܝܬܗ܂,,ܢܕܢܡܢܠܘܬܡܠܟܐ,ܢܕܢܡܢܠܘܬܡܠܟܐ
ܘܗܘ̤,ܘܗܘ̤,,,
,ܚܫܝܫܘܐܒܝܠ܂ܘܢܕܢܒܪܝ,,,
ܐܬܐܠܘܬܝܘܐܡܪ,ܐܬܐܠܘܬܝܘܐܡܪ,,ܐܬܐܠܘܬܝܘܐܡܪ,ܐܬܐܠܘܬܝܘܐܡܪ
ܠܝ,ܠܝ,,ܠܝ܂,ܠܝ܂
ܒܐܠܗܐ,ܒܐܠܗܐ,,ܒܐܠܗܐ,ܒܐܠܗܐ
,ܛܒܐ,,ܕܝܠܟܐܒܝܝܡܐܐ̄ܢܐܠܟ܂ܒܗܕܐܥܒܝܕܬܐ,ܕܝܠܟܐܒܝܝܡܐܐ̄ܢܐܠܟ܂ܒܗܕܐܥܒܝܕܬܐ
,,,,ܕܥܒܕܬ܆
ܣܓܝ,,,,ܣܓܝ
ܚܕܝܒܟܡܠܟܐ,ܚܕܝܒܟܡܠܟܐ,,,
ܣܢܚܪܝܒ,ܣܢܚܪܝܒ܂,,,
ܘܫܒܚܟ,ܘܫܒܚܟ,,,
ܡܛܠ,ܘܪܡܪ̱ܡܢܥܠ,,,
ܕܥܒܕܬ,ܕܥܒܕܬ,,ܕܥܒܕܬ,
ܐܟܡܐܕܟܬܒܠܟܒܐܓܪܬܐ܂,ܗܘܡܐܕܦܩܕܟܒܐܓܪܬܗ܂,,ܛܒ,ܛܒ
ܘܗܫܐ,ܘܗܫܐ,,ܣܓܝܩܠܣܟ܂ܘܪܡܪܡܟ,ܩܠܣܟܘܪܡ̱ܪܡܟ
ܫܕܪܢܝܠܘܬܟܢܬܛܝܒܐܢܐܘܐܢ̄ܬܩܕܡܘܗܝܠܚܘܕܐܝܬ܂ܡܛܠܗܕܐܦܩܘܕܠܚܝܠܘ̈ܬܐܕܢܗܦܟܘܢܠܒܬܝ̈ܗܘܢ܂ܗܝܕܝܢܦܩܕܬܠܚܝ̈ܠܘܬܐܕܢܐܙܠ̄ܘܢܟܠܐ̄ܢܫܠܒܝܬܗܘܐܬܝܢ,ܓܝܪ,,ܡܠܟܐܣܪܚܕܘܡܥܠܕܫܡܠܝܬܦܘܩܕܢܐܓܪܬܗ܂ܗܫܐܕܝܢ,ܡܠܟܐܣܪܚܕܘܡܥܠܕܫܡܠܝܬܦܘܩܕܢܐܓܪܬܗ܂ܗܫܐܕܝܢ
,ܫܠܚܢܝܒܬܪܟ,,ܫܠܚܢܝܒܬܪܟ,ܫܠܚܢܝܒܬܪܟ
,ܕܢܬ݁ܛܝܒ݂ܐܢ̄ܬܘܐܢܐ,,ܕܢܬܛܝܒ,ܕܢܬܛܝܒ
,ܒܠܚܘܕܝܢ,,ܒܠܚܘܕ̈ܝܢܠܘܬܗ܂,ܒܠܚܘܕܝܢ
,ܨܐܕܘܗܝ܂,,,ܠܘܬܗ܇
,ܘܐܪܦܐܠܚܝܠܐܟܠܚܕ,,ܘܐܪܦܐܠܚܝܠܐܟܠܚܕ,ܘܐܪܦܐܠܚܝܠܐܟܠܚܕ
,ܠܒܝܬܗ܂ܐܕܦܝܬ,,ܕܢܐܙܠܠܒܝܬܗ܂,ܕܢܐܙܠܠܒܝܬܗ܂
ܐܢܐ,ܐܢܐ,,,
ܘܢܐܕܢܠܘܬܡܠܟܐ܆ܘܐܡܪܬܠܗܫܠܡܐ܂,ܚܝܠܐܘܐܬܝܘ,,,
,ܟܢܐܪܦܝܬܐܢܐ,,ܟܢܐܪܦܝܬܐܢܐ,ܟܢܐܪܦܝܬܐܢܐ
,ܚܝܠܐ,,ܚܝܠܐ,ܠܚܝܠܐ
,ܘܐܬܝܬܥܡܢܕܢ,,ܘܐܬܝܬܥܡܢܕܢ,ܘܐܬܝܬܥܡܢܕܢ
,ܨܝܕܡܠܟܐ,,ܠܘܬܡܠܟܐ܂,ܠܘܬܡܠܟܐ܂
,ܘܫܠܡܬܥܠܘܗܝ܂,,ܘܫܠܡܬܥܠܘܗܝ܂,ܘܫܠܡܬܥܠܘܗܝ܂
ܘܟܕ,ܘܟܕ,,ܘܟܕ,ܘܟܕ
,ܗܟܝܠ,,ܗܟܝܠ,
ܚܙܢܝܐܡܪ,ܚܙܢܝܐܡܪ,,ܚܙܢܝܐܡܪ,ܚܙܢܝܐܡܪ
ܠܝ,ܠܝ,,ܠܝ܂,ܠܝ܂
ܐܬܝܬ,ܐܬܝܬ,,ܐܬܝܬ,ܐܬܝܬ
ܐܘ̇,,,,
ܐܚܝܩܪ,ܐܚܝܩܪ,,ܐܚܝܩܪ,
ܢܘܛܪܝܘܡܕܒܪܢܐܕܡܠܟܘܬܝ܂ܕܐܢ̄ܬܚܒܝܒܗ̄ܘܝܬ,ܟܬܘܒܝ,,ܣܦܪܐܕܝܠܝ,ܣܦܪܐܕܝܠܝ
,ܘܡܕܒܪ,,ܘܡܕܒܪ,ܘܡܕܒܪ
,ܡܠܟܘܬܝܐܢ̄ܬܗ̄ܘ,,ܡܠܟܘܬܝ܂,ܒܝܬܝܘܡܠܟܘܬܝ܂
,,,ܐܢ̄ܬܘ,ܐܢ̄ܬܘ
,ܗܘܕܪܚܝܡ,,ܗܘܕܪܚܝܡ,ܗܘܕܪܚܝܡ
,ܗ̄ܘ̣ܐ,,ܥܠܝ܂,ܥܠܝ܂
ܥܠܝ,ܥܠܝ,,ܐܡ̇ܪܢܐ,ܐܡܪ
ܘܕܐܡܪܬ,ܐܡ̇ܪ,,,
,ܐ̄ܢܐ,,,ܐ̄ܢܐ
ܠܟܙܠ,ܠܟܙܠ,,ܠܟܙܠ,ܠܟܙܠ
ܢܘܚܒܒܝܬܟܡܛܠܣܝܒܘܬܟ܂ܐܢ̄ܬܚܠܦܗܕܐ,ܐܬܬܢܝܚ܂ܗܫܐܕܝܢ,,ܠܒܝܬܐ,ܠܒܝܬܟ
ܗܦܟܬ,ܗܦܟܬ,,ܘܠܐܣܟܬܬܚܙܐܩܕܡܝ܂ܗܫܐܕܝܢܗܦܟܬ̤,ܘܠܐܣܟܬܬܚܙܐܩܕܡܝ܂ܗܫܐܕܝܢܗܦܟܬ̤
,ܪܚܡ̱ܬܟ,,ܪܚܡ̱ܬܟ,ܪܚܡܬܟ
,ܠܣܢܐ̱ܬ݂ܐܘܥܒܪܬܥܝܢܟܥܠܝ܂,,ܠܣܢܐ̱ܬܐ܂,ܠܣܢܐ̱ܬܐ܂
ܘܗܘܝܬ,ܘܗܘܝܬ,,ܘܗܘܝܬ,ܘܗܘܝܬ
ܥܡ,ܠܟܡ̣ܢ,,ܠܟܡ̣ܢ,ܠܟܡ̣ܢ
ܒܥܠܕܒܒܝ̈܂,ܒܥܠܕܒܒܝ̈܂,,ܒܥܠܕܒܒ̈ܝ܂,ܒܥܠܕܒܒܝ̈܂
ܘܐܦܩ,ܘܐܦܩ,,ܟܢܐܦܩ,ܟܢܐܦܩ
ܘܝܗَܒ,ܓܝܪ,,ܘܝܗ̄ܒܠܝ,
,ܘܝܗ̄ܒ,,,ܘܝܗ̄ܒ
ܠܝ,ܠܝ,,,ܠܝ
ܐܓܪ̈ܬܐ,ܐܓܪ̈ܬܐ,,ܐܓܪ̈ܬܐ,ܐܓܪ̈ܬܐ
ܗܢܝܢ,,,ܗܢܘܢ,ܗܢܝܢ
ܕܟܬܒ,ܕܟܬܒ,,ܕܢܕܢܒܪܝܟܬܒ,ܕܢܕܢܒܪܝܟܬܒ
ܢܐܕܢ,ܢܕܢ,,,ܡܢ
ܡ̣ܢ,ܡ̣ܢ,,ܡ̣ܢ,
ܦܪܨܘܦܘܕܡܝ,ܠܫܢܝ܂,,ܠܫܢܝ,ܠܫܢܝ
,ܘܐܝܟ,,ܘܐܝܟ,ܘܐܝܟ
ܟܝܪܬ,ܟܝܪܬ,,ܟܝܪܬ,ܟܝܪܬ
ܐܝܕܗܠܕܝܠܝ܂ܘܕܚ̣ܬܝ̈ܡܢ,ܐܝܕܝ̈,,ܐܝܕ̈ܝ,ܐܝܕܝ̈
,ܕܚܬܡ,,ܕܚܬܡ,ܕܚܬܡ
,ܗ̄ܘܐܐܢܝܢ,,ܗ̄ܘ̣ܐܐܢܝ̈ܢ,ܗ̄ܘܐܐܢܝܢ
ܒܚܬܡܝ܂,ܒܚܬܡܝ,,ܒܚܬܡܝ܂,ܒܚܬܡܝ܂
ܘܟܕܩܪܝܬ,ܘܟܕܩܪܝܬ,,ܘܟܕܩܪܝܬ,ܘܟܕܩܪܝܬ
ܐܢܝܢ,ܐܢܝܢ,,ܐܢܝ̈ܢ,ܐܢܝܢ
ܐܬܪܗܒܬ,ܐܬܪܗܒܬ,,ܐܬܪܗܒܬ,ܐܬܪܗܒܬ
ܘܓܪ̈ܡܝܟ݁ܠܗܘܢܐܬܦܩܥܘ܂ܘܠܫܢܝܐܬܐܣܪ܂ܘܒܥܝܬܕܐܡܠܠܚܕܐ,ܘܐܬܪܦܝܘܓܪ̈ܡܝ܂,,,
,ܘܦܫܬܒܪܥܠܐ,,ܘܦܫܬܒܪܥܠܐ,ܘܦܫܬܒܪܥܠܐ
ܡܠܬܐ,,,,
ܕܚܟܡܬܐܠܐܐܬܡܨܝܬ܂ܗܝܕܝܢܦܥܪܠܝܦܘܡܗ,ܘܕܚܠ̱ܬܐ,,ܘܕܚܠܬܐ,ܘܕܚ̱ܠܬܐ
,ܘܐܬܐ̱ܣܪ,,ܘܐܬܐ̱ܣܪ,ܘܐܬܐ̱ܣܪ
,ܠܫܢܝܘܨܒܝܬܕܝܢ,,ܠܫܢܝ܂ܘܟܕܨܒܝܬ,ܠܫܢܝ܂ܘܟܕܨܒܝܬ
,ܠܡܡܠܠܘ,,ܠܡܡܠܠܘ,ܠܡܡܠܠܘ
,,,ܡܠܬܐ,ܡܠܬܐ
,ܠܡܠܬܐ,,,
,ܚܕܐܡ̣ܢ,,ܚܕܐܡ̣ܢ,ܚܕܐܡ̣ܢ
,ܡܠܝ̈,,ܡ̈ܠܝܚܟܡ̱̈ܬܐ,ܡܠܝ̈
,ܚܟܡ̱ܬܐ,,,ܚܟܡ̱̈ܬܐ
,ܘܠܐ,,ܘܠܐ,ܘܠܐ
,ܐܫܟܚܬ܂,,ܐܫܟܚܬ܂,ܐܫܟܚܝܬ܂
,ܗܝܕܝܢܐܙܥܩ,,ܗܝܕܝܢܐܙܥܩ,ܗܝܕܝܢܐܙܥܩ
ܥܠܝ,ܥܠܝ,,ܥܠܝ,ܥܠܝ
ܢܐܕܢ,ܢܕܢ,,ܢܕܢ,ܢܕܢ
ܘܐܡܪ,ܘܐܡܪ,,ܘܐܡܪ,ܘܐܡܪ
ܦܘܩ,ܠܝ܂,,ܠܝ܂,ܠܝ܂
,ܐܬܦܢܝ,,ܐܬܦܫܚ,ܐܬܦܫܚ
ܡ̣ܢ,,,ܡ̣ܢ,ܡ̣ܢ
ܩܕܡܡܠܟܐܐܘܣܒܐܣܟܠܐ,ܩܕܡܡܠܟܐܐܘܣܒܐܣܟܠܐ,,ܩܕܡܡܠܟܐܐܘܣܒܐܣܟܠܐ,ܩܕܡܡܠܟܐܐܘܣܒܐܣܟܠܐ
ܐܘ̇,ܐܘ,,ܐܘ,ܐܘ
ܣܒܐܒܝܫܐ܂,ܣܒܐܒܝܫܐ܂,,ܒܝܫܓܕܐ,ܒܝܫܓܕܐ
ܘܗܒܐܝܕܝ̈ܟ,ܘܗܒܐܝܕܝ̈ܟ,,ܘܗܒܐܝܕܝ̈ܟ,ܘܗܒܐܝܕܝ̈ܟ
ܕܢܬܐܣܪ̈ܢ܂ܘܦܩܕܘܐܝܬܝܣܘܛ̈ܡܐܘܐܣܪܕ̈ܓܠܝܘܐܪܡܝܫ̈ܫܠܬܐܒܐܝܕܝ̈܂ܘܐܦܡܠܟܐܐܗܦܟܦܪܨܘܦܗ,ܠܐܣܘܪ̈ܐ,,ܐܣܘܪ̈ܐ,ܠܐܣܘܪ̈ܐ
,ܘܪ̈ܓܠܝܟ,,ܘܪ̈ܓܠܝܟ,ܘܪ̈ܓܠܝܟ
,ܠܟܒ̈ܠܐ܂ܘܣܛܡܢܝܒܣܘܛܡ̈ܐ܂ܘܡܠܟܐܕܝܢ,,ܠܣܘܛ̈ܡܐ܂ܒܬܪܟܢܡܠܟܐ,ܠܣܘܛܡ̈ܐ܂ܒܬܪܟܢ
,ܐܦܢܝܐܦܘ̈ܗܝ,,ܐܦܢܝܐܦܘ̈ܗܝ,ܐܦܢܝܐܦܘ̈ܗܝ
ܡܢܝ܂ܘܐܬܚܡܬ,ܡܢܝ܂ܘܐܬܚܡܬ,,ܡܢܝܒܚܡܬܐܕܠܐܡܬܡܠܠܐ܂ܘܦܩܕ,ܡܢܝܒܚܡܬܐܕܠܐܡܬܡܠܠܐ܂ܘܦܩܕ
ܛܒ,ܥܠܝ,,,
ܘܐܡܪ,ܘܐܡܪ,,,
ܠܐܣܦܘܩܠܛܪܐܕܫܡܗ,ܠܐܣܦܘܩܠܛܪܐܕܫܡܗ,,ܠܐܣܦܘܩܠܛܪܐܕܫܡܗ,ܠܐܣܦܘܩܠܛܪܐܕܫܡܗ
ܝܒܘܣܡܝܟܡܣܟܢܝܟܬܝ܂,ܝܒܘܣܝܡܝܟܡܣܟܝܢܬ܂,,ܝܒܘܣܡܝܟܡܣܟܝܢܟܬܝ,ܝܒܘܣܡܝܟܡܣܟܝܢܟܬܝ܂
,,,ܘܐܡܪ܂,ܘܐܡܪ܂
