Brit_Libr_Or_9321,Brit_Mus_Add_7209,Cod_Arab_236,DFM_00614,Mingana_Syr_258,Sachau_290_Sachau_339,Vat_sir_159
,كلالاشجار,كلالاشجار_,,,,
,,وتمرهالايكونالااخير,,,,
,,الكل_,,الكل,,
,يخلفويورقواخير,,,يخلفويورق_واخير,,
,الكل,,الكل,الكل,,
,يطعماثماره,,يُطعمأثمارها,يطعماثماره_,,
,بلكون,بلكون,بلكون,بلكون,,بلكون
,هادي,مثلشجرة,,مثلشجرة,,
,,التوته_,,طيبه,,
,,,حليم,حليم,,
,ووديع,,,ووديع,,
,وذوطعم,,وذوطعم,وذوطعم,,
مثل,مثل,,مثل,مثل,,مثل
شجرة,شجرة,,شجرة,شجرة,,
التوت,التوت,,التوت,التوت_,,التوت
فانهاتورقبعدغيرها_,لان,لان,عقبالكليخضرأثمارهاويورق,لان,,حكيم_ياابنى
,,ورقها,,,,
,اخير,اخير,,اخير,,
,يخرج,الكليبقا_وتطعمثمرهاقبلجميعالاشجار_هكذاكونحليموديعدوَّمعرفه,,يجريويخرج,,
,ورقه,,,ورقه_,,
وقبل,وقبل,,وقبل,واوّل,,
غيرهاتؤكلاثمارها_(٧)ياابنيكسرعينيكواخفضصوتك,الكليطعم,,الكليطعم,الكليطعم,,
,اثماره,,,اثماره_,,
,يا,يا,يا,يا,,
,بني,بني,بني,ابني,,
,احنيراسك,احنيراسك,احنيراسك,احنيراسك,,احنيراسك
وانظر,وانظر,وانظر,وأنظر,_وطلع_وانظر,,وانظر
الى,الي,الي,الى,الى,,الى
اسفل,اسفل,اسفل_,أسفلليّن,اسفل_وليّن,,اسفل
وكنمرَّتبًالادنسًا_لانه,وليّن,,,,,ولين
,صوتك,,صوتك,صوتك,,صوتك
,وكون,وكون,وكون,وكون,,وكون
,متادب,لينالصوتوالكلام_,متأدب,متادب,,متادب
,,,ساكن,,,
,,,ركين,ركين,,
,,,,ساكن,,
,,,,وديع_,,
,ولاتكونسفيه,,ولاتكونسفيه,ولاتكونسفيه_,,ولاتكونسفيه
,ولاترفع,ولاترفع,ولاترفع,ولاترفع,,وترفع
,صوتك,صوتك,صوتك,صوتك,,صوتك
,بافتخار,بافتخار,,بافتخار,,بافتخار
,وبهرجه,وبهرجه_,,بهرجه,,
,لان,لان,,لان,,لان
لو,لو,لو,لو,ولو,,لو
كانالبنآءيقام,كان,كان,كان,كان,,كان
بصوت,بصوت,بصوت,بصوت,بصوت,,صوتً
عالٍ,مرتفع,الشديدالمرتفع,مرتفع,مرتفع,,مرتفع
,شديد,,ينبني,شديد,,
,كان,,,,,
,يبنا,يبنا,,يبنا,,يبنا
,البيت,البيت_,البيت,البيت_,,البيت_
,,,كان,,,
لكان,,لكان,,,,
الحمار,الحمار,الحمار,الحمار,الحمار,,الحمار
,,,بارتفاعصوته,,,كليوم
يبني,,يبني,يبني,,,
,,,,,,بنا
في,,,في,,,
,,كليوم,,,,
كليوم,,,كليوم,,,
,,بيتًا,,,,
قِلّيتين_ولوكانالفدان,بيتين,,بيتين,بيتين,,بيتين
,كان,,,كان,,ياابنى
يساق,,,,,,
,بنا,,,بنا,,
,بيوم,,,بيوم,,
,ولوكان,ولوكان,ولوكان,واحدولو,,
بقوة,بقوة,بشدَّةالقوَّهيحرت,بقوة,,,
الصرامة_ما,شديده,,شديدة,,,
,,,يساق,,,
كانت,كانت,,,كانت,,
مسكة,,,الفدَّان,,,
الفدان,الفدان,الفدان_,,الفدان,,
ترفعمنرقبة,,لكان,,بقوةٍشديد,,
,تسوق,,,تسوق,,
,ماكان,,ماكان,ماكان,,
,ابعدتالفدان,,ابتعد,بعدت,,
,منتحت,,,منتحت,,
,اباطالجمال,,,باط,,
الجمل_,,الجمل,الجمل,الجمل_,,
(٨)ياابنيالسلوك,,يسوقمكانالتيران,عنالفدَّان,,,
