433,Sachau 336
ܕܒܪ̈ܘܠܐܓܘܢ̈ܒܝ,ܕܣܐܡܐܘܐܝ̈ܕܝܐܕܕܗܒܐܘܪ̈ܓܠܐܕܒܪ̈ܘܠܐ܂ܓܘܢܒܝ̈
ܠܐܫܒܩܐ,ܠܐܫܒܩܐ
ܐܢܐܠܗܘܢ܀,ܐَܢܐܠܗܘܢ܂
ܗܘܝܬܠܝܒܪܝܐܝܟܚܘܝܐܐܝܢܐܕܥܠܣܢܝܐܪܟܝܒ,ܗܘܝܬܠܝܒܪܝܐܝܟܚܘܝܐܐܝܢܐܕܥܠܣܢܝܐܪܟܝܒ
ܗ̄ܘܐ,ܪܟܒܗَܘܐ܂
ܘܐܙܠ,ܘܐܙܠ
ܗ̄ܘܐ,ܗَܘܐ
ܒܢܗܪܐ܂ܘܚܙܐܐܪܝܐܘܐܡܪܕܒܝܫܥܠܒܝܫܪܟܝܒ܂ܘܕܒܝܫܡܢܬܪ̈ܝܗܘܢ,ܒܢܗܪܐ܂ܘܚܙܐܐܪܝܐܘܐܡܪܕܒܝܫܥܠܒܝܫܪܟܝܒ܂ܘܕܒܝܫܡܢܬܪ̈ܝܗܘܢ
ܐܘܒܠ,ܡܘܒܠ
ܠܗܘܢ܂ܐܡܪܠܗܚܘܝܐ,ܠܗܘܢ܂ܐܡܪܠܗܚܘܝܐ
ܠܐܪܝܐ܂,ܠܐܪܝܐ
ܗܘ܂ܗܐ,ܗܘ܂ܗܐ
ܐܢ̄ܬ,ܐܢَܬ
ܡܦܢܐ,ܡܦܢܐ
ܐܢ̄ܬ,ܐܢَܬ
ܥܙ̈ܐܥܠ,ܥܙ̈ܐܥܠ
ܡܪܗܘܢ܆,ܡܪ̈ܝܗܘܢ܀
ܗܘܝܬܠܝܒܪܝܐܝܟܥܝ̈ܠܐܕܗܘܘ,ܗܘܝܬܠܝܒܪܝܐܝܟܥܝ̈ܠܐܕܗܘܘ
ܩܛܘ̈ܠܐ,ܩܛܘܠ̈ܐ
ܠܐܡܗܬܗ̈ܘܢ܂,ܠܐܡܗܬܗ̈ܘܢ܂
,܀
ܒܪܝܐܢܐܟܠܡܕܡܕܒܣܝܡ,ܒܪܝܐܢܐܟܠܡܕܡܕܒܣܝܡ
ܠܛܥܡܬܟܝܗ̄ܒܬ܂ܘܐܢ̄ܬ,ܛܥܡܬܟܘܐܢَܬ
ܠܚܡܐܒܥܦܪܐܠܐܣܒܥܬܢܝ܂ܐܢܐܒܡܫܚܢ̈ܐܒܣܝܡ̈ܐܡܫܚܬܟ܂,ܠܚܡܐܒܥܦܪܐܠܐܣܒܥܬܢܝ܂ܐܢܐܒܡܫܚܢ̈ܐܒܣܝܡ̈ܐܡܫܚܬܟ܂
ܘܐܢ̄ܬ,ܘܐܢَܬ
ܓܘܫܡܝܒܥܦܪܐܚܒܠܬ܂ܐܢܐܚܡܪ̈ܢܐܥܬܝܩ̈ܐܐܫܩܝܬܟ܂,ܓܘܫܡܝܒܥܦܪܐܚܒܠܬ܂ܐܢܐܚܡܪ̈ܢܐܥܬܝܩ̈ܐܐܫܩܝܬܟ܂
ܘܐܢ̄ܬ,ܘܐܢَܬ
ܡܝ̈ܐܒܟܝܠܐܠܐ,ܡܝ̈ܐܒܟܝܠܐܠܐ
ܣܒܥܬܢܝ܂,ܣܒܥܬܢܝ܀
ܗܘܝܬܠܝܒܪܝ,ܗܘܝܬܠܝܒܪܝ
ܐܝܠ,ܠܐܝܟ
ܚܘܠܕܐܕܣܠܩܠܦܘܡ,ܚܘܠܕܐܕܣܠܩܠܦܘܡ
ܐܪܥܐ܂,ܐܪܥܐ܁
ܕܢܩܒܘܠܠܐܠܗܐܡܛܠ,ܕܢܩܒܘܠܠܐܠܗܐܡܛܠ
ܥܝܢܘ̈ܗܝ,ܥܝܢܘܗ̈ܝ܂
ܘܐܬܐܢܫܪܐ,ܘܐܬܐܢܫܪܐ
ܘܚܛܦܗ܂,ܘܚܛܦܗ܀
ܥܢܐܢܕܢ,ܥܢܐܢܕܢ
,ܒܪܝ
ܘܐܡܪܠܝ܂ܚܣܠܟܡܪܝܕܬܗܘܐܡܢܗܠܝܢܕܠܐ,ܘܐܡܪܠܝ܂ܚܣܠܟܡܪܝܕܬܗܘܐܡܢܗܠܝܢܕܠܐ
ܪ̈ܚܡܐ܂,ܪ̈ܚܡܐ܁܂
ܐܠܐܐܝܟܪ̈ܚܡܝܟܥܒܕܥܡܝ܂ܘܐܦܠܐܠܗܐܚܛܐ,ܐܠܐܐܝܟܪ̈ܚܡܝܟܥܒܕܥܡܝ܂ܘܐܦܠܐܠܗܐܚܛܐ
ܐ̄ܢܫ,ܐَܢܫ
ܘܫܒܩܠܗܚܛܗܘ̈ܗܝ܂ܐܦ,ܘܫܒܩܠܗܚܛܗܘ̈ܗܝ܂ܐܦ
ܐܢ̄ܬ,ܐܢَܬ
ܗܫܐܫܒܘܩܠܝ܂ܘܐܗܘܐܡܫܡܫܪ̈ܟܫܝܟ܂ܐܘܪܥܐܥܢ̈ܐܐܘܚܙܝܪ̈ܐ,ܗܫܐܫܒܘܩܠܝ܂ܘܐܗܘܐܡܫܡܫܪ̈ܟܫܝܟ܂ܐܘܪܥܐܥܢ̈ܐܐܘܚܙܝܪ̈ܐ
ܕܝܠܟ,ܕܝܠܟ܂
ܘܐܬܩܪܐ,ܘܐܬܩܪܐ
,ܓܒܪܐ
,ܛܒܐ܂ܥܢܝܬܐܢܐ
,ܬܬܩܪܐ
ܐܢܐܓܒܪܐܒܝܫܐ܂,ܐܢܐܓܒܪܐܒܝܫܐ܂
ܘܐܢ̄ܬܡܬܩܪܐ,ܘܐܢَܬ
ܛܒܐ܂ܥܢܝܬܐܢܐ,
ܘܐܡܪܬ,ܘܐܡܪܬ
ܠܗ܂,ܠܗ
ܗܘܝܬܠܝܒܪܝܐܝܟ,ܗܘܝܬܠܝܒܪܝܐܝܟ
ܩܩܠܐ,ܕܩܠܐ
ܚܕܕܩܐܡܥܠܝܕ,ܚܕܕܩܐܡܥܠܝܕ
ܐܘܪܚܐܘܐܒܗ,ܐܘܪܚܐ܂ܘܐܫܗ
ܠܐܡܩܒܠܕܢܩܪܐ܂ܘܐܬܐ,ܠܐܡܩܒܠܕܢܩܪܐ܂ܘܐܬܐ
ܡܥܗ,ܡܪܗ
ܘܨܒܐ,ܘܨܒܐ
ܕܢܥܩܕܝܘܗܝ܂,ܕܢܥܩܪܝܘܗܝ܂
ܐܡܪܠܗܕܩܠܐܗܘܫܒܘܩܝܢܝ,ܐܡܪܠܗܕܩܠܐܗܘܫܒܘܩܝܢܝ
ܫܢ̄ܬܐ,ܫܢَܬܐ
ܚܕܐܘܐܬܠ,ܚܕܐܘܐܬܠ
ܟܘܫ̈ܒܐ܂,ܠܟܟܘܫ̈ܒܐ܆
