162,Add. 2020,Add. 2020,Add. 2020,Add. 2020,Add. 2020,Add. 2020,Add. 7200,Ar 7/229,Manuscrit 4122,Or. 2313,Sachau 162,Sachau 162,Sado no. 9,Syr 80
,,,,ܢܬܩܪܒ,,,ܬܬܩܪܒܐ̄ܢܫܠܩܢܝܢܘܗܝ̈ܕܐܚܝܩܪ܂܂ܣܦܪܐ,ܢܬܩܪܒ
,,,,ܐَܫܠܩܢܝܢܘ̈ܗܝ,,,,ܐܢܫܠܩܢܝܢ̈ܘܗܝܕܐܚܝܩܪܣܦܪܐ܂
,,,,,,,ܗܟܢܐ,ܗܟܢܐ
,,,,,,,ܕܟܡܐ,ܕܟܡܐ
,,,,ܕܐܚܝܩܪ,,,ܕܐܚܝܩܪ,ܕܐܚܝܩܪ
,,,,ܣܦܪܐ܆,,,,
,,,,ܗܟܢܐ,,,,
,,,,ܐܚܝܩܪ,,,,
,,,,ܒܚܝ̈ܐ,,,ܒܚܝ̈ܐ,ܒܚܝ̈ܐ
,,,,ܐܝܬܘܗܝܐَܢܫܠܢܟܣܘ̈ܗܝ,,,ܐܝܬܘܗܝ܂ܐ̄ܢܫܠܢܟܣܘܗܝ̈,ܐܝܬܘܗܝ܆ܐܢܫܠܢܟܣ̈ܘܗܝ
,,,,ܘܠܒܝܬܗܠܐ,,,ܘܠܒܝܬܗܠܐ,ܘܠܒܝܬܗܠܐ
,,,,ܢܬܩܪܒ܆,,,ܢܬܩܪܒ,ܢܬܩܪܒ܂
,,,,ܟܕܢܣܒܐܚܝܩܪܠܐܚܘܗܝܕܢܕܢ,,,ܟܕܢܣܒܐܚܝܩܪܠܐܚܘܗܝܕܢܕܢ,ܟܕܢܣܒܐܚܝܩܪܠܐܚܘܗܝܕܢܕܢ
,,,,ܕܢܪܒܝܘܗܝ܆,,,ܕܢܪܒܝܘܗܝ,ܕܢܪܒܝܘܗܝ܂
,,,,ܗܝܕܝܢܟܕܚܙܐܠܐܚܘܗܝ,,,ܗܝܕܝܢܟܕܚܙܐܠܐܚܘܗܝ,ܗܝܕܝܢܟܕܚܙܐܠܐܚܘܗܝ
,,,,ܙܥܘܪܐ,,,ܕܥܩܪܘܐ,ܙܥܘܪܐ
,,,,ܕܢܣܒܬܗ,,,ܕܢܣܒܬܗ,ܕܢܣܒܬܗ
,,,,ܘܪܒܝܬܗ܆,,,ܘܪܒܝܬܗܗܐ,ܘܪܒܝܬܗ܂
,,,,ܘܗܐ,,,,ܘܗܐ
,,,,ܩܐܡܩܕܡܝ,,,ܩܐܡܩܕܡܝ,ܩܐܡܩܕܡܝ
,,,,ܒܒܝܬܝ܆,,,ܒܒܝܬܝܘܐܬܒܐܫ,ܒܒܝܬܝ܂
,,,,ܐܬܒܐܫ,,,,ܐܬܒܐܫ
,,,,ܠܗ,,,ܠܗ,ܠܗ
,,,,ܘܩܨܦ܆,,,ܘܩܨܦ,ܘܩܨܦ܂
,,,,ܟܕܣܡܢܕܢ,,,ܟܕܣܡܢܕܢ,ܟܕܣܡܢܕܢ
,,,,ܒܬܪܥܝܬܗ,,,ܒܬܪܒܝܬܗ,ܒܬܪܥܝܬܗ
,,,,ܡܠ̈ܐܕܒܝܫܘܬܐ,,,ܡܠ̈ܐܕܒܝܫܘܬܐ,ܡܠ̈ܐܕܒܝܫܘܬܐ
,,,,ܠܡܐܡܪ܆,,,ܠܡܐܡܪܗܟܢܐ,ܠܡܐܡܪ܂
,,,,ܗܢܐ,,,,ܗܢܐ
,,,,ܐܚܝܩܪܐܒܝ,,,ܐܚܝܩܪܐܒܝ,ܐܚܝܩܪܐܒܝ
,,,,ܣܐܒ,,,ܣܐܒ܂,ܣܐܒ
,,,,ܘܚܟܡܬܗܥܒܪܬ,,,ܘܚܟܡܬܗܥܒܪܬ,ܘܚܟܡܬܗܥܒܪܐ܆ܘܡ̈ܠܘܗܝܫܛܝ̈܂
,,,,ܘܡܠܘ̈ܗܝܫܛܝ̈܆,,,ܘܡܠܘܗܝ̈ܫܝܛܝ̈,
,,,,ܕܠܡܐܢܬܠ,,,ܕܠܡܐܢܬܠ,ܕܠܡܐܢܬܠ
,,,,ܢܟܣܘ̈ܗܝ,,,ܢܟܣܘܗ̈ܝ,ܢܟܣܘ̈ܗܝ
,,,,ܠܐܚܝ,,,ܠܐܚܝ,ܠܐܚܝ܂
,,,,ܘܠܝܢܪܚܩ,,,ܠܝܘܥܪܚܩ,ܘܠܝܢܪܚܩ
