Borg_ar_201,Camb_Add_2886,Cambrigde_Add_3497,GCAA_00486,Mingana_ar_christ_93_84,Mingana_syr_133,Ms_orient_A_2652,Or_1292b,Paris_Arabe_3637,Vat_ar_2054
والله,والله,والله,والله,,والله,والله,,,
ياخالي,ياخالي_,,,,ياخالي,,,,
قد,لقد,لقد,لقد,لقد,قد,لقد,قد,لقد,
فرح,فرح,فرح,فرح,فرح,فرح,فرح,فرح,فرح,
الملك,بكالملكفرحًاعظيمًا,,الملك,الملك,الملك,الملك,,الملك,
,,اليوم,اليوم,بما,اليوم,اليوم,اليوم,,
فرحًا,,فرحًا,فرحًا,,فرحًا,فرحًا,بكالفرحالعظيم,فرحًا,
عظيم:,,عظيم,عضيم,,عظيم,عظيم_,,عظيم,
وشكرك,وشكرك,وشكرك,وشكرك,,وشكرك,وشكرك,وشكرك,وشكرك,
حتى,حيث,حيث,حيت,,حيث,حيث,حيث,حيث,
صنعت,صنعت,صنعت,صنعت,صنعت,صنعت,صنعت,صنعت,صنعت,
ماامرك,ماامرك,ماامرك,ماامرك,وسرّهذالكوقد,ماامرك,ماامرك,ماامرك,ماامرك,
بهِ:,به_,بهِ,به,,به,به_,بهِ_,بهِ_,
والان,والان,والان,والاً,,والان,والان,والان,والان,
قد,لقد,قد,قد,,قد,قد,قد,قد,
ارسلني,ارسلنى,ارسلنى,ارسلني,ارسلني,ارسلني,ارسلني,ارسلني,ارسلني,
اليك:,اليك,الان,,يقوللك,اليك,,اليك,اليك,
,,حتى,,,,حتى,حتي,لكي,
ان,ان,,ان,ان,ان,ان,,,
تطلق,تطلق,تطلق,تطلق,تطلق,تطلق,تطلق,تطلق,تطلق,
العسكر,العساكر,العساكر,العسكر,العسكر,العسكر,العسكر,العساكر,العساكر,
,الىحال,فى,في,يمضيوتجي,,في,في,في,
,سبيلهم,سبيله,سبيله,,,سبيله_,سبيلهم,سبيلهم,
وتمضي,وتمتضى,وتمضى,وتمضي,,وتمضي,وتمضي,وتمضي,وتمضي,
الى,انت,انت,انت,انت,انت,انت,انت,انت,
عنده,اليه,اليه,اليه,مقيدبالسلاسلاليحضرتهلتنظرغلمان,عنده,اليه,اليه,اليه,
مكتوف_,مكتف,مكتف,مكتوف,,مكتوف,مكتّفمقيّد,مكتف,مكتف,
وقيدفيرجليك:لينظروا,اليدينومقيدالرجلين,مقيد,مقيد,,وقيدفيرجليكلينظروا,,مقيد,مقيد,
,لينظروا,لينظروا,لينضروا,,,لينظروا,لينظروا,لينظروا,
رسل,رسل,رسل,رسل,,رسل,رسل,رسل,رسل,
فرعون,فرعون,فرعون,فرعون,فرعون,فرعون,فرعون,فرعون,فرعون,
ذلك,ذلك_,ذلك,دلكويبقي,سطوتالملكواجاب,ذلك,ذلك_,ذلك,ذلك,
:,,لان,,,,لان,لان,لان,
ويبقا,ويبقا,بقل,,,ويبقا,بقا,بقا,بقا,
الملكمهابعندهموعندملكهم:,الملكمهابعندهموعندملكهم_,الملكمهابعندهموعندملكهم,الملكمهابعندهموعندملكهم,,الملكمهابعندهموعندملكهم,الملكمهابعندهموعندملكهم_,الملكمهابعندهموعندملكهم,الملكمهابعندهموعندملكهم_,
فاجاب,فجاب,فاجاب,فاجاب,,فاجاب,فاجاب,فاجاب,فاجاب,
حيقار,حيقار,حيقار,حيقار,,حيقار,حقار,حيقار,حيقار,
بالسمع,وقال,بالسمع,بالسمع,,بالسمع,بالسمع,بالسمع,بالسمع,
,السمع,,,السمع,,,,,
والطاعه:,والطاعه,والطاعه,والطاعه,والطاعه,والطاعه,والطاعه_,والطاعه,والطاعه,
وكتّف,وقاممنساعته,,,فاصرفالعسكرواتامسلسلاليحضرةسنحاريبسيدهفدخلوقبلالارضوسجدللملكفقالله,,وكتّف,,,
,وكتف,وكتف,وكتف,,وكتف,,وكتف,وكتف,
يديه,يديه,يديه,يديه,,يده,يديه,يديه,يديه,
وقيد,وقيد,وقيد,وقيد,,وقيد,وقيّد,وقيد,وقيد,
رجليه:,رجليه_,رجليه,رجليه,,رجليه,رجليه,رجليه,رجليه,
واخذه,واخذه,واخده,واخده,,واخذه,واخده,واخده,واخده,
ناثان,نادان,نادان,نادان,,نادان,نادان,نادان,نادان,
ومضى,ومضىبه,ومضى,ومضي,,ومضىبه,ومضىبه,ومضي,ومضي,
بهِ,,بهِ,بهالي,,,,بهِ,بهِ,
,,,,,,الى,,,
الى,الى,الى,,,الى,,,,
,,,,,,,الي,الي,
,عندالملك_,عند,,,,عند,عند,عند,
الملك:وكانالملكقد,,الملكوكانالملكقد,الملكوكانالملكقد,,الملكوكانالملكقد,الملك_وكانالملكقد,الملكوكانالملكقد,الملك_وكانالملكقد,
نظر,,نظر,نضر,,نظر,نظر,نظر,نظر,
,,الرسالة,الرسالهالاخرهايضا,,,الرسالهالاخرهايضا_,الرسالة,الرسالة,
,,الاخرى,,,,,الاخري,الاخري,
ايضًا,,ايضًا,,,ايضًا,,ايضًا,ايضًا_,
الرسالةالثانيه:,,فلما,فلما,,الرسالةالثانيه,فلما,فلما,فلما,
فلما,فلما,,,,فلما,,,,
دخل,دخل,دخل,دخل,,دخل,دخل,دخل,دخل,
حيقار,حيقار,حيقار,حيقار,,حيقار,حقار,حيقار,حيقار,
على,على,على,علي,,على,على,علي,الي,
الملك:,الملك,الملك,الملك,,الملك,الملك,الملك,الملك,
فسجد,سجد,سجد,سجد,,فسجد,سجد,سجد,سجد,
امامهُوخرّ,امامه,امامه,امامه,,امامه,امامه,امامه,امامه,
,,,علي,,وخر,,علي,علي,
للارض,,,,,للارض,,,,
على,على,على,,,على,على,,,
,الارض,الارض,الارض,,,الارض,الارض,الارض,
,,على,,,,على,,,
,ودعاالىالملكبالعزوالادوام,,علي,,,,علي,علي,
وجهه:,,وجهه,وجهه,,وجهه,وجهه_,وجهه,وجهه_,
فقال,فقال,فقالله,فقال,,فقالله,فقالله,فقال,فقال,
لهُ,,,له,,,,له,لهُ,
الملكيا,الملكيا,الملكيا,الملكيا,الملكيا,الملكيا,الملكيا,الملكيا,الملكيا,
حيقار,حيقار,حيقاركاتبى,حيقار,حيقار,حيقار,حقار,حيقار,حيقار,
,,,,,يا,,,,
كاتبي:,كاتبي,,كاتبي,كاتبي,كاتبي,كاتبي,كاتبي,كاتبي,
وولي,وولىامرى,وولىامرى,ووالي,ووزيري,وولي,وولي,وولي,وولي,
امري:,,,امري,,امري,امري,امري,امري,
وكاتم,وكاتم,وكاتم,وكاتم,وكاتم,وكاتم,وكاتم,وكاتم,وكاتم,
سرّي:ومدبّر,سرى,سرى,سري,سري,سري,سرّيومدبّر,سري,سري,
,ومدبر,ومدبر,ومدبر,,ومدبر,,ومدبر,ومدبر,
,,,,ماهوالذي,,,,,
دولتي:,دولتى,دولتى,دولتي,فعلته,دولتي,دولتي_,دولتي,دولتي,
قول,وقل,قول,قول,,قول,قول,قول,قول,
لي,لى,لى,لي,,لي,لي,لي,لي,
ماهوالذي,,,,,ماهوالذي,,,,
,ماذا,ماذا,مادا,,,ماذا,ماذا,ماذا,
صنعتهُ,صنعت,صنعت,صنعت,,صنعته,صنعت,صنعت,صنعت,
انا,,,,,انا,,بك,,
معك,معك,معك,معك,معك,معك,معك,,معك,
منالقبيح,منالقبيح,منالقبيح,منالقبيح,منالقبيح,منالقبيح,منالقبيح,منالقبيح,منالقبيح,
حتى,حتى,حتى,حتي,حتي,حتي,حتى,حتي,حتي,
تباديني,انت,انت,ان,تباديبي,,انت,انت,انت,
,تجازينى,جازيتنى,تجازيني,,تجازيني,جازيتني,جازيتني,جازيتني,
بهذه,بهذه,بهده,بهده,بهذه,بهذه,بهذه,بهذه,بهذه,
الافعال,الفعال,الافعال,الافعال,الافعال,الافعال,الافعال,الافعال,الافعال,
السمجه:,السمجه,السمجه,السمجه,الرديهثمانهأراهالرسايل,السمجه,السمجه_,السمجه_,السمجة_,
ثم,ثم,ثم,ثم,,ثم,ثم,ثم,ثم,
اوراهُ,ارواه,اوراه,اوراه,,اوراه,ارواه,اوراه,ارواه,
الاوراق,المكاتيب,الاوراق,الاوراق,,الاوراق,الاوراق,الاوراق,الاوراق,
بختمهِوخطّهِ:,بخطهوختمه,بختمهوخطه,بختمهوخطه,بخطهوختمه,بختمهوخطه,بختمهوخطه_,بختمهوخطه_,بختمهوخطه,
فخجلحيقارللوقت,فلما,فلما,فلمانضرحيقاردلك,فلما,فخجلحيقارللوقت,فلما,فلما,فلما,
ورقّت,نظر,نظر,,نظرهمحيقاروقراهمخجل,,نظر,نظر,نظر,
,حيقار,حيقار,,ورجفت,ورجفت,حقار,حيقار,حيقار,
,ذلك,ذلك,,اعظاه,,ذلك,ذلك,ذلك,
,رجفت,رجفت,رجفت,,,رجفت,رجفة,رجفة,
اعضاه:,عضاه,اعضاه,اعضاه,,اعضاه,اعضاه,اعضاه,اعضاه,
وانعقدلسانه:,وانعقدلسانه,وانعقدلسانه,وانعقدلسانه,وانعقدلسانه,وانعقدلسانه,وانعقدلسانه,وانعقدلسانه,وانعقدلسانه,
للوقت:,للوقت,للوقت,للوقت,للوقت,,للوقت,للوقت,للوقت,
وما,ولم,ولم,ولم,وما,وما,ولم,ولم,ولم,
بقي,بقى,يعد,بقي,بقي,بقى,بقا,يعد,يعد,
يطيقالكلام:,يقدريتكلم,يقدريتكلم,يقدريتكلم,يطيقالكلام,يقدريتكلم,يقدريتكلم,يقدريتكلم,يقدريتكلم,
وبقي,كلمته,,كلمة,عندذلكالملك,وبقى,,,كلمة,
يريدان,,,,,يريدان,,,,
يتحدّث,,,,,يحدت,,,,
كلمه,,كلمه,,,كلمه,كلمه,كلمه,,
واحده,,واحده,واحده,,واحده,واحده,واحده,واحده,
من,من,من,من,,من,من,من,من,
,خوفه,,,,,,,كل,
حكمتهومعرفته:,,حكمتهومعرفته,حكمتهومعرفته,,حكمتهومعرفته,حكمتهومعرفته_,حكمتهومعرفته,حكمتهومعرفته,
فلم,,,فلم,,فلم,,,,
يجدذلك:فاطرق,,,يقدرعليدلك,,يجدذلكفاطرق,,,,
,بلانهاطرق,بلانهاطرق,بلانهاطرق,,,بلانهاطرق,بلانهاطرق,بلانهاطرق,
,,الى,,,,الى,الي,الي,
في,,,في,,في,,,,
,راسه,,,,,,,,
الارض,فى,,الارض,,الارض,,,,
,,الارض,,,,الارض,الارض,الارض,
,,,,,,في,في,في,
,الارض,,,,,,,,
,,فى,,,,,,,
,,راسه,,,,راسه,راسه,راسه,
وسكت:فلما,وسكتفلما,وسكتفلما,وسكتفلما,,وسكتفلما,وسكت_فلما,وسكتفلما,وسكت_فلما,
نظرالملكذلك:,نظرالملكذلك,نظرالملكذلك,نضرالملكدلك,,نظرالملكذلك,نظرالملكذلك,نظرالملكذلك,نظرالملكذلك,
امر,تحققالامرانهمنهصارهذاالشيفقامللوقتوامر,امر,امر,امر,امر,امر,امر,امر,
للوقت,,,,,للوقت,,,,
ان,ان,ان,ان,ان,ان,ان,ان,ان,
يوثقوا,يقتلوا,يقتلوا,يوتقوا,يوتقوهويضرب,يوثقوا,يقتلوا,يقتلوا,يقتلوا,
حيقار,حيقار,حيقار,حيقار,,حيقار,حقار_,حيقار,حيقار,
ويضربوا,ويضربوا,ويضربوا,ويضربوا,,ويضربوا,ويضربوا,ويضربوا,ويضربوا,
عنقهُ,عنقه,عنقه,عنقه,عنقه,عنقه,عنقه,عنقه,عنقه,
,بالسيف,,,,,,,,
خارجالمدينه:فصرخ,خارجالمدينهفصرخ,خارجالمدينهفصرخ,خارجالمدينهفصرخ,خارجالمدينهفصرخ,خارجالمدينهفصرخ,خارجالمدينه_فصرخ,خارجالمدينه_فصرخ,خارجالمدينه_فصرخ,
ناثان,نادان,نادان,نادان,نادان,نادان,نادان,نادان,نادان,
للوقت,,,للوقت,,للوقت,,,,
وقال,وقال,وقال,وقال,وقال,وقال,وقال,وقال,وقال,
يا,يا,يا,يا,لحيقار,لحيقار,يا,يا,يا,
حيقار,حيقار,حيقار,حيقار,ياسود,,حقار,حيقار,حيقار,
يااسود,يااسود,يااسود,يااسود,,يااسود,يااسود,يااسود,يااسود,
الوجه:ايش,الوجهايش,الوجهايش,الوجهايش,الوجهايش,الوجهايش,الوجه_ايش,الوجهايش,الوجه_ايش,
نفعك,نفعك,نفعك,نفعك,نفعك,ينفعك,نفعك,نفعك,نفعك,
,فكركوحيلتكفيفعل,,,الان,,,,,
مكرك,,مكرك,مكرك,مكرك,مكرك,مكرك,مكرك,مكرك,
وغدرك:,,وغدرك,وغدرك,وخبتكفسجدحيقارقدامالملكوقاللهياسيديالملكاذاكاناختياركهكذايعيشراسكاليالابدلكناريدمنكانتامرالسيافبضربعنقي,,وغدرك_,وغدرك,وغدرك,
حتى,,حتى,حتي,,حتى,حتى,حتي,حتي,
,,,,فيباب,,,,,
تفعل,,تفعل,تفعل,بيتيويعطيجتتي,تفعل,تفعل,تفعل,تفعل,
هذا,هذا,هذا,هدا,,هذه,هذا,هذا,هذا,
الفعل,الفعل,الفعل,الفعل,,الفعل,الفعل,الفعل,الفعل,
الردي,,,,,الردي,,,,
معالملك:,معالملك,معالملك,معالملك,,معالملك,معالملك_,معالملك,معالملك,
,_,,,,,,,,
قال,قال,قال,قال,,قال,قال,قال,(قال),
,الراوي,,,,,,,,
وكاناسم,وكاناسم,وكاناسم,وكاناسم,,وكاناسم,وكاناسم,وكاناسم,وكاناسم,
السيّاف,السياف,السياف,السياف,,السياف,السيّاف,السياف,السياف,
ابوسميك,ابنسميك_فقاللهالملكياسيافقوم,ابوسميك,بوسميك,,ابوسميك,ابوسميك,ابوسميك,ابوسميك,
:فامرهُ,,مسكين,مسكين,,,مسكين,مسكين,مسكين,
,,,كنتي,,,_,,,
,,فامره,فامره,,فامره,فامره,فامره,فامره,
الملكوقالله,,الملكبانيقطع,الملكوقالله,,الملكوقالله,الملكوقالله,الملكبانيقطع,الملكبانيقطع,
امضي,امضي,,امضي,,امضي,امضي,,,
اقطع,اقطع,,اقطع,,اقطع,واقطع,,,
عنق,عنق,عنق,عنق,,عنق,عنق,عنق,عنق,
حيقار,حيقار,حيقار,حيقار,,حيقار,حقار,حيقار,حيقار,
في,في,,في,,في,في,في,في,
,,فى,,,,,,,
باب,باب,باب,باب,,باب,باب,باب,باب,
بيتهِ:,بيته,بيته,بيته,,بيته,بيته_,بيته,بيته,
وابعد,وابعد,ويبعد,وابعد,,وابعد,وابعد,ويبعد,ويبعد,
راسهُ,راسه,راسه,راسه,,راسه,راسه,راسه,راسه,
عن,عن,عن,عن,,عن,عن,عن,عن,
جثته,جدته,,,,جثته,جثته,,,
,جتته,جتته,جتته,,,,جتته,جتته,
ماية,ماية,ماية,ماية,,ماية,ماية,ماية,ماية,
ذراع:عند,ذراععند,دراع,دراع,,ذراععند,دراع_,دراع_,دراع,
,,فعند,عنددلك,,,فعند,فعند,فعند,
ذلك,ذلك,ذلك,,,ذلك,ذلك,ذلك,ذلك,
خرحيقار,خرحيقار,خرحيقار,خرحيقار,,خرحيقار,خرّحقار,خرحيقار,خرحيقار,
امامالملكوقال,امامالملكوقال,امامالملكوقال,امامالملكوقال,,امامالملكوقال,امامالملكوقال,امامالملكوقال,امامالملكوقال,
تعيشيا,يعيش,يعيش,يعيش,,تعيشيا,يعيش,يعيش,يعيش,
سيّدي,سيدي,سيدى,سيدي,,سيدي,سيدي,سيدي,سيدي,
الىالابد:فاناردت,الملك,الملك,الملك,,الىالابدفاناردت,الملك,الملك,,
,الى,الى,الي,,,الى,الي,الي,
,الابد,الابد,الابد,,,الابد_,الابد_,الابد_,
,وان,فان,فان,,,فان,فان,فان,
,كان,كان,كان,,,كان,كان,كان,
,,انت,,,,انت,انت,انت,
,تريد,تريد,تريد,,,تريد,تريد,تريد,
قتلي,قتلي,قتلى,قتلي,,قتلي,قتلي,قتلي,قتلي,
يكوناختيارك:,يكوناختيارك,باختيارك,يكوناختيارك,,يكوناختيارك,باختيارك_,باختيارك_,باختيارك_,
وانااعلمانليس,وانااعلمانليس,وانااعلمانليس,وانااعلمانليس,,وانااعلمانليس,وانااعلمانليس,وانااعلمانليس,وانااعلمانليس,
لي,لي,لى,لي,,لي,لي,لي,لي,
ذنب:,ذنب,ذنب,دنب,,ذنب,ذنب_,دنب,دنب_,
لكن,لكن,ولكن,لكن,,لكن,ولكن,ولكن,ولكن,
يطالب,يتطالب,يطالب,يطالب,,يطالب,يطالب,يطالب,يطالب,
الردي,الردي,الردى,الردي,,الردى,الردى,الردي,الردي,
برداه:,برداه,برداه,برداه,,برداه,برداه_,برداه_,برداه_,
لكن,ولكن,لكن,لكن,,لكن,لكن,,,
,,,,,,,لكن,فارجو,
ياسيّدي,يا,,ارجي,,يا,ارجوا,,,
,,,,,,,,من,
,سيدي,,,,سيدي,,,سيدي,
رجاي,الملك,,,,رجاي,,,الملك,
من,,,,,من,,,,
,ارجو,ارجو,,,,,ارجو,,
,منك,منك,منك,,,منك,منك,,
,,يا,,,,يا,يا,,
,ومن,,,,,,,ومن,
,صداقتك,مولاى,,,,مولاي,مولاي,صداقتهانياذن,
,,ومن,ومن,,,ومن,ومن,,
صدقاتك:,,صدقاتك,صدقاتك,,صدقاتك,صدقاتك_,صدقاتك,,
ترادنالسياف,تاذن,انتاذن,تاذانالسياف,,تاذن,انتاذن,انتاذن,,
,للسياف,للسياف,,,للسياف,للسياف,للسياف,للسياف,
ان,ان,ان,ان,,ان,ان,ان,ان,
يعطي,يعطى,يعطى,يعطي,,يعطي,يعطي,يعطي,يعطي,
جسدي,جسدي,جسدىلعبيدىحتىيدفنونى,جسدي,,جسدي,جسدي,جسدي,جسدي,
لعبيدي,لعبيدي,,لعبيدي,لعبيدي,لعبيدي,لعبيدى,لعبيدي,لعبيدي,
حتى,حتىيدفنوه,,حتي,,حتى,حتى,حتي,حتي,
يدفنوني:,,,يدفنونني,يدفنوني,يدفنوني,يدفنوني_,يدفنوني,يدفنوني,
ويكونعبدكفداك,ويكونعبدكفداك,ويكونعبدكفداك,ويكونعبدكفداك,ويكونعبدكفداك,ويكونعبدكفداك,ويكونعبدكفداك_,ويكونعبدكفداك_,ويكونعبدكفداك_,
فامرالملك,_قامالملكامر,فامرالملك,فامرالملك,عندذالك,فامرالملك,فامرالملك,فامرالملك,فامرالملك,
للسياف,,ان,للسياف,,للسياف,السيّاف,ان,بان,
,,يفعل,,,,,يفعل,يفعل,
,السياف,السياف,,,,,السياف,السياف,
ان,ان,بهِ,ان,,ان,ان,بهِ,بهِ,
يفعل,يفعل,,يفعل,,يفعل,يفعل,,,
بهِ,به,,به,,به,به,,,
ما,كما,كما,ما,,ما,كما,كما,كما,
يريد:,يريد_,يريد,يريد,,يريد,يريد_,يريد_,يريد_,
فاخذوا,فللوقت,فاخدوا,فامرواخدوا,,فاخذوا,فاخذوا,فاخدوا,فاخدوا,
حيقار,امرالملك,حيقار,حيقار,امرالملك,حيقار,حقار,حيقار,حيقار,
السياف,لغلمانهانياخذواحيقاروالسيافويمضوا,غلمانالملك,غلمانالملك,للسياف,للسياف,غلمانالملك,غلمانالملك,غلمانالملك,
وغلمانه:,,والسيافومضوا,والسيافومضوا,انيقطععنقحيقاربباببيتهويبعدراسهعنمايتذراعواخدهالسيافوغلمانالملكومضوابهاليمنزلهفارسلحيقارمعبعضغلمانه,وغلمانه,والسيّاف,والسيافومضوا,والسيافومضوا,
ومضوا,,,,,ومضوا,ومضوا,,,
بهِ,به,بهِ,به,,به,به,بهِ,بهِ,
,,وهو,,,,وهو,وهو,وهو,
عريان,عريان,عريان,عريان,,عريان,عريان,عريان,عريان,
ليقتلوه:فلما,ليقتلوه_فلما,ليقتلوهفلما,ليقتلوهفلما,,ليقتلوهفلما,ليقتلوه_فلماتيقّنحقاربقتله_ارسل,ليقتلوه_فلما,ليقتلوهفلما,
حس,تحقق,تيقن,تيقن,,حس,,تيقن,تيقن,
حيقار,حيقار,حيقار,حيقار,,حيقار,,حيقار,حيقار,
بقتلهِ,بقتله_,بقتله,بقتله,,بقتله,,بقتله,بقتله,
وتيقنذلك:,,,ارسا,,وتيقنذلك,,,,
ارسل,ارسل,ارسل,,,ارسل,,ارسل,ارسل,
الى,الى,الى,الي,,الى,الى,الي,الي,
زوجته,زوجته,زوجته,زوجته,,زوجته,زوجته,زوجته,زوجته,
يقول,يقول,يقول,يقول,يقول,يقول,يقول,يقول,يقول,
لها:,لها_,لها,لها,لزوجته,لها,لها_,لها_,لها,
وكاناسمها,,وكاناسمها,وكاناسمها,وكاناسمها,وكاناسمها,وكاناسمها,وكاناسمها,وكاناسمها,
اشفغني,,شغفتنى,اشفغني,اسفغينيوكانتحكيمهعارفهعاقلهلبيبهوأمرهاانتاخدمعها,اشفغني,شغفتني_,شغفتني_,شغفتني_,
:,,انك,,,,انك,انك,انك,
اخرجي,اخرجي,تخرجىللقاى,اخرجي,,اخرجي,تخرجي,تخرجي,تخرجي,
للقايي,للقاي,,للقاي,,للقايي,للقاي,للقاي_,للقاي,
ومعكي,ومعكى,ومعك,ومعكي,,ومعكي,ومعك,ومعك,ومعكي,
الفبنتبكر:,الفبنتبكر,الفبنتبكر,الفبنتبكر,الفبنتبكر,الفبنتبكر,الفبنتبكر_,الفبنتبكر_,الفبنتبكر_,
ولبسيّهم,ولبسيهم,والبسيهم,ولبسيهم,وتلبسهمالثيابالفاخرهحتيينوحوويبكوعليا,ولبسيهم,والبسيهم,والبسيهم,والبسيهم,
ثياب,تياب,تياب,تياب,,ثياب,ثياب,تياب,تياب,
الارجوان,الارجوان,ارجوان,الارجوان,,الارجوان,الارجوان,ارجوان,ارجوان,
والحرير:,والحرير,والحرير,والحرير,,والحرير,والحرير,والحرير,وحرير,
حتى,حتى,حتى,حتي,,حتى,حتى,حتي,حتي,
يبكون,يبكوا,يبكوا,يبكون,,يبكون,يبكون,يبكوا,يبكوا,
عليّ,علىّ,علىّ,علي,,علي,عليّ,عليّ,عليّ,
قبلموتي:,قبلموتي,قبلموتي,قبلموتي,قبلموتي,قبلموتي,قبلموتي_,قبلموتي,قبلموتي_,
واوضعي,واصنعي,واوضعى,واوضعي,واضعي,واوضعي,واوضعي,واوضعي,واوضعي,
للسيّاف,للسياف,للسياف,للسياف,للسياف,للسياف,للسيّاف,للسياف,للسياف,
وغلمانه,مايده_,مايده,مايده,وغلمانالملك,وغلمانه,مايده,مايده,مايده,
مايده:,والىغلمانه_,له,,مايده,مايده,له,لهُ,لهُ,
,,ولغلمانه,ولغلمانه,وشرابحتيياكلوويشربو,,ولغلمانه_,ولغلمانه,ولغلمانه,
وامزجي,وامزجي,وامزجى,وامزجي,,وامزجي,وامزجي,وامزجي,وامزجي,
خمرًا,خمرًا,خمرًا,خمرًا,,خمرًا,خمرًا,خمرًا,خمرًا,
كثير,كثير,كثير,كتير,,كثير,كثير,كثير,كثير,
حتى,حتى,حتى,حتي,,حتى,حتى,حتي,حتي,
يشربون:,يشربون,يشربون,يشربون,,يشربون,يشربون_,يشربون_,يشربون_,
ففعلت,ففعلت,ففعلت,ففعلت,ففعلت,ففعلت,ففعلت,ففعلت,ففعلت,
جميع,جميع,حرمت,,اسفغيني,جميع,حرمت,حرمة,حرمة,
ما,ما,حيقار,ما,,ما,حقار,حيقار,حيقار,
,,كما,,كما,,كما,كما,كما,
امرها:,امرها_,امرها,امرها,امرها,امرها,امرها,امرها,امرها,
,,زوجها,,حيقارثمانهالتفتالسيافوهماماشين,,زوجها_,زوجها,زوجها,
وكانت,وكانت,وكانت,وكانت,,وكانت,وكانت,وكانت,وكانت,
,,هى,,,,ايضا,,,
,,,,,,هي,هي,هي,
,,ايضًا,,,,,ايضًا,ايضًا,
حكيمه,حكيمه,حكيمه,حكيمه,,حكيمه,حكيمه,حكيمه,حكيمه,
,,عارفه,,,,,عارفه,عارفه,
,ماهره,,,,,,,,
عاقله,عاقله,عاقله,عاقله,,عاقله,عاقله_,عاقله,عاقله,
ماهره:,,ماهره,ماهره,,ماهره,ماهره,ماهره,ماهره,
,جدًاوقد,,,,,,,,
قد,,قد,قد,,قد,قد,قد,قد,
حوت,حوت,حوت,حوت,,حوت,حوت,حوت,حوت,
,جميع,,,,,,,,
الادبوالمعرفه:فلماوصلوا,الادبوالمعرفه_فلماوصلوا,الادبوالمعرفهفلماوصلوا,الادبوالمعرفهفلماوصلوا,,الادبوالمعرفهفلماوصلوا,الادبوالمعرفه_فلماوصلوا,الادبوالمعرفهفلماوصلوا,الادبوالمعرفه_فلماوصلوا,
الجند,جندالملكوالسياف,الجند,الجند,,الجند,الجند,الجند,الجند,
والسياف,,والسياف,والسياف,,والسياف,والسيّاف,والسياف,والسياف,
وغلمانه,,والغلمان,والغلمان,,وغلمانه,والغلمان_,والغلمان,والغلمان,
وجدوا,وجدوا,وجدوا,وجدوا,,وجدوا,فوجدوا,وجدوا,وجدوا,
المايدهموضوعه:والخمروالمواكيلالمفتخره,المايدهموضوعهوالخمروالمواكيلالمفتخره,المايدهموضوعهوالخمروالمواكيلالمفتخره,المايدهموضوعهوالخمروالمواكيلالمفتخره,,المايدهموضوعهوالخمروالمواكيلالمفتخره,المايدهموضوعهوالخمروالمواكيلالمفتخره_,المايدهموضوعهوالخمروالمواكيلالمفتخره_,المايدهموضوعهوالخمروالمواكيلالمفتخره_,
فبدوا,وابتدوا,فابتدوا,فابتدوا,,فبدوا,فابتدوا,فابتدوا,فابتدوا,
في,في,بالاكل,في,في,في,بالاكل,بالاكل,بالاكل,
الاكل,الاكل,,الاكل,الطريقوقالوقاله,الاكل,,,,
والشربحتى,والشربحتى,والشرب,والشرب,,والشربحتى,والشرب,والشرب,والشرب,
سكروا:,,حتى,حتي,,سكروا,حتى,حتي,حتي,
,انهمشبعوا,انهمشبعوا,انهمشبعوا,,,انهمشبعوا,انهمشبعوا,انهمشبعوا,
,وسكروا_,وسكروا,وسكروا,,,وسكروا_,وسكروا,وشكروا,
فاخذ,فاخذ,فاخد,فاخد,,فاخذ,فاخد,فاخد,فاخد,
حيقار,حيقار,حيقار,حيقار,,حيقار,حقار,حيقار,حيقار,
السيّافعلىمنزلٍ,السياف,السياف,السياف,,السياف,السياف,السياف,السياف,
,وانعزلناحيهمنالجماعه,فى,علي,,على,في,في,في,
,,عزله,معزلوقالله,,معزلوقالله,عزله,عزله,عزله,
,,على,,,,على,علي,علي,
,,جنب,,,,جنب,جنب_,جنب,
وقال,وقال,وقال,,,,وقال,وقال,وقال,
لهُ:,,لهُ,,,,له_يابو,لهُ,لهُ,
يا,يا,يا,يا,يا,يا,,يا,يا,
ابو,ابو,ابوسميك,بوسميك,ابو,ابو,,ابو,ابو,
سميك,سميك,,,سميك,سميك,سميك,سميك,سميك,
ماتعلم,ماتعلم,,ماتعلم,انظرالياللهتعاليواعرفحقالصداقهوالخبزوالملحالذياكلناهجميعواعرفالجميلالذيصنعتهمعكلماارادسرخادومالملكيقتلكوامرنيبذالكفاخفيتكاليحينهدي,ماتعلم,ماتعلم,,,
يومالذي,لما,لما,لما,,يومالذي,لما,لما,لما,
,,,,غضبه,,,,,
ارادسرحادومالملكابوسنحاريب,ارادسرحادومالملكابوسنحاريب,ارادسرحادومالملكابوسنحاريب,ارادسرحادومالملكابوسنحاريب,ثماخرجتكففرحالملكبكواناايضا,ارادسرحادومالملكابوسنحاريب,ارادسرحادومالملكابوسنحاريب,ارادسرحادومالملكابوسنحاريب,ارادسرحادومالملكابوسنحاريب,
,,الملك,,,بقتلك,الملك,الملك,الملك,
,,,,اعرفان,,,,,
,,,,ليسليذنبوانمانادانابناختيمكربيوغشني,,,,ان,
يقتلك:,يقتلك_,يقتلك,يقتلك,,,يقتلك_,يقتلك,يقتلك,
فاخذتك,فاخذتك,,,,فاخذتك,,,_,
,,فاخدتك,فاخدتك,,,فاخدتك,فاخدتك,فاخدتك,
